Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\data/PB-RTK-Admin_RA-run_1-2014_Aug_05_0826.csv,Time:,2014_Aug_05_0826,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\T1000_Physio_Baseline_Schedule1.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('IMAGE_ONSET', 3)]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
60,0,3,207.079881252,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/pale_yellow_flower_close_up.bmp
61,0,3,210.080903034,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/PASSION-VINE-flower.bmp
62,0,3,213.133225472,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/photo_9908927_148597_24283624_ap.bmp
63,0,3,216.090952576,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/pink-flowers-close-up_00433632.bmp
64,0,3,219.092504498,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Pink-Rose-hd-wallpaper-Flower.bmp
65,0,3,222.081510164,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Pink-tulip-flower-close-up-photography_1280x800.bmp
66,0,3,225.082294741,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/pink_gladiolus_flowers_close-up.bmp
67,0,3,228.119496854,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Prunus_serrulata_-_flowers_close-up.bmp
68,0,3,231.090016584,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/purple-strange-flowers-2359.bmp
69,0,3,234.246306374,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/PurpleFlowersCloseUpiPadWallpaperHD.bmp
70,0,3,237.109361155,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(1).bmp
71,0,3,240.086686901,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(10).bmp
72,0,3,243.083158874,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(128).bmp
73,0,3,246.086172527,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(129).bmp
74,0,3,249.083777737,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(143).bmp
75,0,3,252.111660257,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(155).bmp
76,0,3,255.114478132,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(163).bmp
77,0,3,258.114461634,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(18).bmp
78,0,3,261.083669949,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(19).bmp
79,0,3,264.176370933,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(20).bmp
80,0,3,267.07863033,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(22).bmp
81,0,3,270.117542379,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(23).bmp
82,0,3,273.090150402,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(24).bmp
83,0,3,276.113465149,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(25).bmp
84,0,3,279.135653259,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(27).bmp
85,0,3,282.15818013,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(28).bmp
86,0,3,285.135289934,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(36).bmp
87,0,3,288.089857836,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(37).bmp
88,0,3,291.090697772,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(41).bmp
89,0,3,294.148580436,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(5).bmp
90,0,3,297.126367762,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Slides(94).bmp
91,0,3,300.151512698,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Starr_030807-0081_Phaeomeria_magnifica.bmp
92,0,3,303.139826911,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/unique-beautiful-flowers-nature-hd-download-wallpaper-for-pc-free.bmp
93,0,3,306.157972253,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Unique-Flower-Of-The-World.bmp
94,0,3,309.46008104,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Unique-Flowers-Of-The-World.bmp
95,0,3,312.098404951,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Unique-Flowers-Picture.bmp
96,0,3,315.093113461,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Unique-Flowers-Wallpaper.bmp
97,0,3,318.093772285,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/wallpaper-5546.bmp
98,0,3,321.100323497,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Wallpaper-cherry-blossom-flower-pink-branch-twig-close-up-pictures.bmp
99,0,3,324.088411136,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/White_and_pink_tulips_with_blue_sky_background.bmp
