"Group","ImageSet","File","Category","allsubjects_valence_mean","allsubjects_valence_sd","allsubjects_arousal_mean","allsubjects_arousal_sd","allsubjects_craving_mean","allsubjects_craving_sd","allsubjects_typicality_mean","allsubjects_typicality_sd","allsubjects_FractionNeither","allsubjects_FractionMeth","allsubjects_FractionOpioid","allsubjects_FractionBoth","allsubjects_MethToOpioid","injectionusers_valence_mean","injectionusers_valence_sd","injectionusers_arousal_mean","injectionusers_arousal_sd","injectionusers_craving_mean","injectionusers_craving_sd","injectionusers_typicality_mean","injectionusers_typicality_sd","injectionusers_FractionNeither","injectionusers_FractionMeth","injectionusers_FractionOpioid","injectionusers_FractionBoth","injectionusers_MethToOpioid","noninjectionusers_valence_mean","noninjectionusers_valence_sd","noninjectionusers_arousal_mean","noninjectionusers_arousal_sd","noninjectionusers_craving_mean","noninjectionusers_craving_sd","noninjectionusers_typicality_mean","noninjectionusers_typicality_sd","noninjectionusers_FractionNeither","noninjectionusers_FractionMeth","noninjectionusers_FractionOpioid","noninjectionusers_FractionBoth","noninjectionusers_MethToOpioid","hue_mean","hue_sd","saturation_mean","saturation_sd","value_mean","value_sd","p_cravingdelta_injectionVnon"
"control Slide101.jpeg","control","Slide101.jpeg","control_tool_face","4.93","1.386","2.46","1.99","14.32","25.20","14.89","24.89","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.90","1.609","2.24","1.81","12.24","21.64","13.38","21.37","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","3.14","2.48","20.57","35.17","19.43","35.11","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.393","0.265","0.305","0.1950","0.591","0.2590","0.57186"
"control Slide102.jpeg","control","Slide102.jpeg","control_tool_face","4.78","1.155","2.89","2.24","11.96","19.53","15.07","21.05","0.96296","0.03704","0.00000","0.00000","-0.03704","4.70","1.342","2.95","2.33","11.60","20.01","15.55","22.38","0.95000","0.05000","0.00000","0.00000","-0.05000","5.00","0.000","2.71","2.14","13.00","19.59","13.71","18.17","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.197","0.264","0.412","0.3060","0.263","0.2410","0.87443"
"control Slide103.jpeg","control","Slide103.jpeg","control_tool_face","5.04","1.835","2.54","2.06"," 8.71","17.49","10.82","19.02","0.96429","0.03571","0.00000","0.00000","-0.03571","5.10","1.972","2.71","2.24","10.71","19.79","13.43","21.31","0.95238","0.04762","0.00000","0.00000","-0.04762","4.86","1.464","2.00","1.41"," 2.71"," 3.99"," 3.00"," 4.32","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.356","0.313","0.127","0.1230","0.528","0.2220","0.09303"
"control Slide104.jpeg","control","Slide104.jpeg","control_tool_face","4.85","1.231","2.52","1.95"," 9.33","17.69","11.26","17.49","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.80","1.436","2.45","1.93"," 8.65","18.01","10.20","17.58","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.71","2.14","11.29","17.98","14.29","18.21","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.088","0.065","0.522","0.2220","0.621","0.2410","0.74517"
"control Slide105.jpeg","control","Slide105.jpeg","control_tool_face","4.86","1.671","2.14","1.78"," 8.32","20.67","10.86","22.29","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.81","1.940","1.90","1.67"," 4.81","11.62"," 8.71","15.75","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.86","2.04","18.86","36.05","17.29","36.66","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.343","0.326","0.291","0.1950","0.432","0.2030","0.34743"
"control Slide106.jpeg","control","Slide106.jpeg","control_tool_face","4.85","1.231","2.67","1.98"," 8.85","17.73"," 9.44","17.56","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.70","1.342","2.80","2.04"," 8.35","18.06"," 8.85","17.90","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.29","0.756","2.29","1.89","10.29","18.05","11.14","17.81","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.254","0.374","0.559","0.2330","0.512","0.2720","0.81182"
"control Slide107.jpeg","control","Slide107.jpeg","control_tool_face","5.04","1.055","2.74","1.95","12.52","19.21","13.11","19.20","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.05","1.234","2.75","1.94","12.25","20.11","12.80","20.02","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.71","2.14","13.29","17.81","14.00","18.09","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.404","0.304","0.294","0.2580","0.530","0.3130","0.90035"
"control Slide108.jpeg","control","Slide108.jpeg","control_tool_face","4.81","1.178","2.63","2.00"," 9.11","17.85"," 9.89","17.55","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.75","1.372","2.60","2.01"," 8.35","18.01"," 9.20","17.82","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.71","2.14","11.29","18.60","11.86","17.98","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.389","0.402","0.279","0.2200","0.516","0.2870","0.72444"
"control Slide109.jpeg","control","Slide109.jpeg","control_tool_face","4.93","1.741","2.29","1.86","12.50","27.28","13.71","25.55","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.81","1.965","2.33","1.88","15.52","30.98","14.38","27.99","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.29","0.756","2.14","1.95"," 3.43"," 4.54","11.71","17.89","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.248","0.345","0.152","0.1760","0.726","0.2290","0.09667"
"control Slide110.jpeg","control","Slide110.jpeg","control_tool_face","4.79","1.729","2.25","1.82","10.61","23.34","11.25","23.15","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.67","1.653","2.10","1.64","12.81","26.60","13.43","26.42","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.14","2.035","2.71","2.36"," 4.00"," 4.97"," 4.71"," 4.31","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.238","0.249","0.244","0.1720","0.741","0.2220","0.16188"
"control Slide111.jpeg","control","Slide111.jpeg","control_tool_face","4.93","0.874","2.70","2.13","12.59","22.71","11.37","22.41","0.96296","0.00000","0.03704","0.00000"," 0.03704","4.80","0.894","2.55","1.88","11.90","20.31"," 8.75","17.96","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.29","0.756","3.14","2.85","14.57","30.38","18.86","32.66","0.85714","0.00000","0.14286","0.0000"," 0.14286","0.456","0.342","0.307","0.2240","0.357","0.2960","0.83416"
"control Slide112.jpeg","control","Slide112.jpeg","control_tool_face","4.70","1.068","2.56","1.93"," 7.56","15.85","11.19","17.57","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.60","1.231","2.65","1.98"," 8.35","18.03","13.15","19.82","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.29","1.89"," 5.29"," 7.20"," 5.57"," 6.60","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.374","0.306","0.286","0.2320","0.528","0.2740","0.53463"
"control Slide113.jpeg","control","Slide113.jpeg","control_tool_face","4.96","1.551","2.79","2.27","10.00","19.09"," 9.93","19.33","0.92857","0.07143","0.00000","0.00000","-0.07143","4.95","1.802","2.76","2.30"," 8.52","15.56"," 9.05","17.45","0.95238","0.04762","0.00000","0.00000","-0.04762","5.00","0.000","2.86","2.34","14.43","28.33","12.57","25.59","0.85714","0.14286","0.00000","0.0000","-0.14286","0.087","0.048","0.224","0.1970","0.698","0.2220","0.61483"
"control Slide114.jpeg","control","Slide114.jpeg","control_tool_face","4.75","1.713","2.18","2.00","14.36","24.63","16.07","23.69","0.89286","0.07143","0.00000","0.03571","-0.07143","4.71","1.821","1.81","1.60"," 8.95","17.64","11.48","17.57","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.86","1.464","3.29","2.75","30.57","35.83","29.86","34.65","0.57143","0.28571","0.00000","0.1429","-0.28571","0.320","0.379","0.229","0.2540","0.840","0.1870","0.16857"
"control Slide115.jpeg","control","Slide115.jpeg","control_tool_face","4.78","0.847","2.52","1.95","17.93","27.47","20.56","27.33","0.92593","0.07407","0.00000","0.00000","-0.07407","4.70","0.979","2.45","1.93","13.65","27.02","16.60","26.79","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.71","2.14","30.14","26.89","31.86","27.61","0.71429","0.28571","0.00000","0.0000","-0.28571","0.261","0.268","0.199","0.1880","0.651","0.2620","0.19166"
"control Slide116.jpeg","control","Slide116.jpeg","control_tool_face","4.89","1.281","2.93","2.11","16.56","28.49","20.26","26.36","0.96296","0.03704","0.00000","0.00000","-0.03704","5.00","1.338","3.05","2.24","18.30","31.61","19.80","28.25","0.95000","0.05000","0.00000","0.00000","-0.05000","4.57","1.134","2.57","1.81","11.57","17.71","21.57","21.94","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.331","0.323","0.393","0.3080","0.470","0.2710","0.49770"
"control Slide117.jpeg","control","Slide117.jpeg","control_tool_face","4.89","0.577","2.56","1.93"," 9.81","18.02","10.81","17.78","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.85","0.671","2.50","1.91","11.40","20.01","12.60","19.89","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.71","2.14"," 5.29","10.34"," 5.71"," 8.69","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.240","0.244","0.213","0.2510","0.716","0.2270","0.31527"
"control Slide118.jpeg","control","Slide118.jpeg","control_tool_face","4.89","1.641","2.32","1.89"," 9.57","17.27","11.96","17.95","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","1.789","2.24","1.73"," 9.29","17.57","13.43","19.97","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.57","1.134","2.57","2.44","10.43","17.65"," 7.57"," 9.50","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.401","0.234","0.201","0.1230","0.480","0.2630","0.88481"
"control Slide119.jpeg","control","Slide119.jpeg","control_tool_face","4.79","1.572","2.14","2.01"," 8.32","21.29","10.29","22.22","0.96429","0.00000","0.00000","0.03571"," 0.00000","4.62","1.746","1.76","1.61"," 6.10","15.04"," 8.90","18.69","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.29","0.756","3.29","2.75","15.00","34.87","14.43","32.11","0.85714","0.00000","0.00000","0.1429"," 0.00000","0.373","0.395","0.201","0.2030","0.709","0.2810","0.53370"
"control Slide120.jpeg","control","Slide120.jpeg","control_tool_face","4.82","1.786","2.54","1.90"," 6.89","15.50"," 7.64","15.35","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.90","1.972","2.24","1.81"," 7.95","17.75"," 9.24","17.44","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.57","1.134","3.43","1.99"," 3.71"," 3.86"," 2.86"," 3.18","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.496","0.303","0.158","0.1510","0.695","0.2710","0.31596"
"meth Slide001.jpeg","meth","Slide001.jpeg","meth","4.50","1.953","4.50","2.80","92.07","12.90","93.32","11.12","0.00000","1.00000","0.00000","0.00000","-1.00000","4.67","1.932","4.90","2.79","92.10","13.01","93.24","11.87","0.00000","1.00000","0.00000","0.00000","-1.00000","4.00","2.082","3.29","2.63","92.00","13.58","93.57"," 9.32","0.00000","1.00000","0.00000","0.0000","-1.00000","0.220","0.299","0.024","0.0150","0.882","0.0930","0.98736"
"meth Slide002.jpeg","meth","Slide002.jpeg","meth","4.70","2.053","4.70","2.87","91.26","13.03","89.93","15.26","0.00000","1.00000","0.00000","0.00000","-1.00000","4.90","2.100","4.85","2.80","91.55","14.19","88.95","17.29","0.00000","1.00000","0.00000","0.00000","-1.00000","4.14","1.952","4.29","3.25","90.43"," 9.86","92.71"," 7.04","0.00000","1.00000","0.00000","0.0000","-1.00000","0.314","0.373","0.022","0.0620","0.822","0.0810","0.82186"
"meth Slide003.jpeg","meth","Slide003.jpeg","meth","4.64","2.181","4.89","2.86","88.75","15.22","91.36","14.08","0.00000","1.00000","0.00000","0.00000","-1.00000","4.86","2.220","5.24","2.68","87.29","17.01","89.90","15.94","0.00000","1.00000","0.00000","0.00000","-1.00000","4.00","2.082","3.86","3.34","93.14"," 6.89","95.71"," 3.95","0.00000","1.00000","0.00000","0.0000","-1.00000","0.195","0.245","0.131","0.1270","0.387","0.3330","0.20843"
"meth Slide004.jpeg","meth","Slide004.jpeg","meth","4.52","1.827","4.63","2.60","85.22","22.52","84.59","23.82","0.00000","1.00000","0.00000","0.00000","-1.00000","4.75","1.682","4.70","2.39","83.45","25.54","82.05","27.05","0.00000","1.00000","0.00000","0.00000","-1.00000","3.86","2.193","4.43","3.36","90.29"," 9.59","91.86"," 7.65","0.00000","1.00000","0.00000","0.0000","-1.00000","0.419","0.324","0.085","0.0880","0.307","0.2550","0.32196"
"meth Slide005.jpeg","meth","Slide005.jpeg","meth","4.50","2.134","4.96","2.87","91.43","13.80","93.11","13.25","0.00000","1.00000","0.00000","0.00000","-1.00000","4.67","2.176","5.29","2.67","91.14","14.83","92.48","14.91","0.00000","1.00000","0.00000","0.00000","-1.00000","4.00","2.082","4.00","3.46","92.29","11.09","95.00"," 6.58","0.00000","1.00000","0.00000","0.0000","-1.00000","0.504","0.199","0.141","0.0800","0.145","0.1290","0.83224"
"meth Slide006.jpeg","meth","Slide006.jpeg","meth","4.39","2.266","4.68","2.91","91.79","12.59","94.32","10.15","0.00000","1.00000","0.00000","0.00000","-1.00000","4.62","2.224","5.00","2.74","91.33","13.38","93.76","11.21","0.00000","1.00000","0.00000","0.00000","-1.00000","3.71","2.430","3.71","3.40","93.14","10.65","96.00"," 6.35","0.00000","1.00000","0.00000","0.0000","-1.00000","0.247","0.363","0.152","0.3090","0.232","0.2940","0.72186"
"meth Slide007.jpeg","meth","Slide007.jpeg","meth","4.74","1.992","4.67","2.90","91.41","12.29","92.67","12.40","0.00000","1.00000","0.00000","0.00000","-1.00000","4.85","1.927","4.80","2.86","91.80","13.43","92.05","14.11","0.00000","1.00000","0.00000","0.00000","-1.00000","4.43","2.299","4.29","3.20","90.29"," 8.99","94.43"," 5.50","0.00000","1.00000","0.00000","0.0000","-1.00000","0.438","0.311","0.085","0.1540","0.678","0.2180","0.74289"
"meth Slide008.jpeg","meth","Slide008.jpeg","meth","4.48","1.968","4.59","2.71","85.00","23.29","84.89","24.56","0.00000","1.00000","0.00000","0.00000","-1.00000","4.80","1.963","4.80","2.65","88.70","16.87","87.50","20.28","0.00000","1.00000","0.00000","0.00000","-1.00000","3.57","1.813","4.00","3.00","74.43","35.67","77.43","34.99","0.00000","1.00000","0.00000","0.0000","-1.00000","0.375","0.296","0.161","0.1860","0.627","0.2600","0.34217"
"meth Slide009.jpeg","meth","Slide009.jpeg","meth","4.56","2.276","4.67","2.94","90.41","15.33","91.44","16.23","0.00000","1.00000","0.00000","0.00000","-1.00000","4.95","2.064","4.95","2.82","89.60","17.39","89.75","18.53","0.00000","1.00000","0.00000","0.00000","-1.00000","3.43","2.637","3.86","3.34","92.71"," 7.20","96.29"," 4.23","0.00000","1.00000","0.00000","0.0000","-1.00000","0.458","0.257","0.312","0.2060","0.548","0.2200","0.51803"
"meth Slide010.jpeg","meth","Slide010.jpeg","meth","4.30","1.938","4.81","2.66","90.19","14.79","90.26","16.03","0.00000","1.00000","0.00000","0.00000","-1.00000","4.35","1.954","5.00","2.49","91.10","15.87","89.50","18.29","0.00000","1.00000","0.00000","0.00000","-1.00000","4.14","2.035","4.29","3.25","87.57","11.82","92.43"," 6.88","0.00000","1.00000","0.00000","0.0000","-1.00000","0.338","0.199","0.094","0.1070","0.369","0.2290","0.54597"
"meth Slide011.jpeg","meth","Slide011.jpeg","meth","4.25","2.066","4.82","2.97","94.00","11.24","94.57","10.72","0.00000","1.00000","0.00000","0.00000","-1.00000","4.52","1.834","5.14","2.76","93.29","12.67","93.76","12.23","0.00000","1.00000","0.00000","0.00000","-1.00000","3.43","2.637","3.86","3.58","96.14"," 5.15","97.00"," 3.11","0.00000","1.00000","0.00000","0.0000","-1.00000","0.391","0.332","0.209","0.1230","0.559","0.1980","0.40602"
"meth Slide012.jpeg","meth","Slide012.jpeg","meth","4.46","2.027","4.57","3.04","91.79","14.57","93.36","13.50","0.00000","1.00000","0.00000","0.00000","-1.00000","4.62","2.061","4.67","2.94","90.57","16.45","92.48","15.26","0.00000","1.00000","0.00000","0.00000","-1.00000","4.00","2.000","4.29","3.55","95.43"," 5.71","96.00"," 5.74","0.00000","1.00000","0.00000","0.0000","-1.00000","0.267","0.318","0.235","0.1330","0.608","0.2240","0.25687"
"meth Slide013.jpeg","meth","Slide013.jpeg","meth","4.29","2.275","4.93","2.87","94.14","11.19","94.89","10.35","0.00000","1.00000","0.00000","0.00000","-1.00000","4.38","2.376","5.19","2.73","93.57","12.42","94.67","11.65","0.00000","1.00000","0.00000","0.00000","-1.00000","4.00","2.082","4.14","3.34","95.86"," 6.74","95.57"," 5.41","0.00000","1.00000","0.00000","0.0000","-1.00000","0.587","0.022","0.101","0.0760","0.869","0.1050","0.54595"
"meth Slide014.jpeg","meth","Slide014.jpeg","meth","4.29","2.209","4.64","2.86","89.96","20.59","91.71","20.62","0.00000","1.00000","0.00000","0.00000","-1.00000","4.38","2.291","4.86","2.69","88.38","23.56","90.00","23.64","0.00000","1.00000","0.00000","0.00000","-1.00000","4.00","2.082","4.00","3.46","94.71"," 4.89","96.86"," 3.08","0.00000","1.00000","0.00000","0.0000","-1.00000","0.584","0.006","0.148","0.0540","0.832","0.0570","0.25760"
"meth Slide015.jpeg","meth","Slide015.jpeg","meth","4.41","2.080","4.67","2.79","88.11","18.25","88.15","19.19","0.00000","0.37037","0.22222","0.40741","-0.14815","4.80","2.093","5.05","2.67","88.20","18.57","88.00","19.96","0.00000","0.40000","0.20000","0.40000","-0.20000","3.29","1.704","3.57","3.05","87.86","18.73","88.57","18.31","0.00000","0.28571","0.28571","0.4286"," 0.00000","0.148","0.261","0.024","0.0700","0.283","0.3830","0.96747"
"meth Slide016.jpeg","meth","Slide016.jpeg","meth","4.41","1.947","4.67","2.83","87.89","16.86","87.30","18.22","0.00000","1.00000","0.00000","0.00000","-1.00000","4.70","1.949","4.90","2.81","88.40","16.84","88.55","16.64","0.00000","1.00000","0.00000","0.00000","-1.00000","3.57","1.813","4.00","3.00","86.43","18.17","83.71","23.25","0.00000","1.00000","0.00000","0.0000","-1.00000","0.269","0.276","0.152","0.0990","0.631","0.1950","0.80646"
"meth Slide017.jpeg","meth","Slide017.jpeg","meth","4.48","2.007","4.93","2.80","88.41","16.64","88.96","17.53","0.00000","1.00000","0.00000","0.00000","-1.00000","4.70","1.949","5.05","2.61","89.25","16.66","89.20","17.98","0.00000","1.00000","0.00000","0.00000","-1.00000","3.86","2.193","4.57","3.51","86.00","17.67","88.29","17.54","0.00000","1.00000","0.00000","0.0000","-1.00000","0.228","0.255","0.332","0.2270","0.462","0.2510","0.67987"
"meth Slide018.jpeg","meth","Slide018.jpeg","meth","4.25","2.048","4.82","2.93","88.32","23.60","90.11","20.42","0.03571","0.96429","0.00000","0.00000","-0.96429","4.57","1.886","5.10","2.77","90.52","18.36","93.24","11.52","0.00000","1.00000","0.00000","0.00000","-1.00000","3.29","2.360","4.00","3.46","81.71","36.25","80.71","36.00","0.14286","0.85714","0.00000","0.0000","-0.85714","0.301","0.301","0.078","0.0490","0.581","0.2090","0.55657"
"meth Slide019.jpeg","meth","Slide019.jpeg","meth","4.68","2.038","4.68","2.87","88.89","16.67","92.00","14.01","0.00000","0.75000","0.07143","0.17857","-0.67857","4.71","2.077","5.05","2.89","89.43","16.84","92.86","12.77","0.00000","0.76190","0.04762","0.19048","-0.71429","4.57","2.070","3.57","2.70","87.29","17.33","89.43","18.13","0.00000","0.71429","0.14286","0.1429","-0.57143","0.278","0.352","0.264","0.3900","0.069","0.1770","0.78117"
"meth Slide020.jpeg","meth","Slide020.jpeg","meth","4.37","1.801","4.67","2.63","87.19","18.32","84.81","19.42","0.00000","1.00000","0.00000","0.00000","-1.00000","4.45","1.932","4.95","2.58","86.60","18.93","85.80","18.91","0.00000","1.00000","0.00000","0.00000","-1.00000","4.14","1.464","3.86","2.79","88.86","17.74","82.00","22.11","0.00000","1.00000","0.00000","0.0000","-1.00000","0.243","0.310","0.022","0.0160","0.792","0.1460","0.78113"
"meth Slide021.jpeg","meth","Slide021.jpeg","meth_hand","4.57","1.971","4.64","2.77","90.50","15.68","95.07","10.18","0.00000","1.00000","0.00000","0.00000","-1.00000","4.86","1.852","4.86","2.74","90.19","16.49","95.33","10.94","0.00000","1.00000","0.00000","0.00000","-1.00000","3.71","2.215","4.00","2.94","91.43","14.09","94.29"," 8.14","0.00000","1.00000","0.00000","0.0000","-1.00000","0.411","0.320","0.302","0.1970","0.345","0.2730","0.85050"
"meth Slide022.jpeg","meth","Slide022.jpeg","meth_hand","4.59","2.206","4.74","2.84","89.19","15.56","89.11","17.86","0.00000","1.00000","0.00000","0.00000","-1.00000","4.75","2.197","4.85","2.72","88.90","17.15","87.55","20.37","0.00000","1.00000","0.00000","0.00000","-1.00000","4.14","2.340","4.43","3.36","90.00","10.85","93.57"," 6.02","0.00000","1.00000","0.00000","0.0000","-1.00000","0.188","0.355","0.164","0.2740","0.158","0.2360","0.84696"
"meth Slide023.jpeg","meth","Slide023.jpeg","meth_hand","4.43","2.098","4.79","2.87","93.93","10.94","94.14","10.12","0.00000","0.96429","0.00000","0.03571","-0.96429","4.71","1.901","5.10","2.74","93.86","11.91","93.57","11.43","0.00000","1.00000","0.00000","0.00000","-1.00000","3.57","2.573","3.86","3.29","94.14"," 8.09","95.86"," 4.56","0.00000","0.85714","0.00000","0.1429","-0.85714","0.118","0.215","0.283","0.1690","0.442","0.1760","0.94417"
"meth Slide024.jpeg","meth","Slide024.jpeg","meth_hand","4.63","1.904","4.63","2.84","87.93","16.71","84.52","20.22","0.00000","0.88889","0.00000","0.11111","-0.88889","4.80","1.765","4.65","2.68","87.30","18.46","82.40","22.39","0.00000","1.00000","0.00000","0.00000","-1.00000","4.14","2.340","4.57","3.51","89.71","11.18","90.57","11.28","0.00000","0.57143","0.00000","0.4286","-0.57143","0.238","0.329","0.393","0.3900","0.155","0.2510","0.68759"
"meth Slide025.jpeg","meth","Slide025.jpeg","meth_hand","4.41","1.947","4.56","2.76","85.15","20.99","88.26","16.68","0.00000","0.25926","0.29630","0.44444"," 0.03704","4.45","1.905","4.60","2.62","82.35","23.54","86.35","18.70","0.00000","0.25000","0.30000","0.45000"," 0.05000","4.29","2.215","4.43","3.36","93.14"," 7.38","93.71"," 7.11","0.00000","0.28571","0.28571","0.4286"," 0.00000","0.432","0.338","0.372","0.2020","0.257","0.2370","0.08207"
"meth Slide026.jpeg","meth","Slide026.jpeg","meth_hand","4.46","1.551","4.54","2.67","81.82","19.29","88.86","15.99","0.00000","0.10714","0.03571","0.85714","-0.07143","4.48","1.470","4.90","2.57","80.43","20.10","87.43","17.97","0.00000","0.09524","0.00000","0.90476","-0.09524","4.43","1.902","3.43","2.88","86.00","17.31","93.14"," 6.79","0.00000","0.14286","0.14286","0.7143"," 0.00000","0.462","0.357","0.368","0.1690","0.223","0.2260","0.49303"
"meth Slide027.jpeg","meth","Slide027.jpeg","meth_hand","4.89","1.888","4.96","2.70","88.96","16.49","87.56","18.67","0.00000","0.07407","0.25926","0.66667"," 0.18519","4.70","1.976","5.00","2.71","89.80","16.34","87.65","19.48","0.00000","0.10000","0.25000","0.65000"," 0.15000","5.43","1.618","4.86","2.85","86.57","17.98","87.29","17.58","0.00000","0.00000","0.28571","0.7143"," 0.28571","0.092","0.111","0.511","0.2120","0.268","0.2140","0.68474"
"meth Slide028.jpeg","meth","Slide028.jpeg","meth_hand","4.56","1.717","4.26","2.54","82.63","20.33","85.93","19.59","0.00000","0.33333","0.18519","0.48148","-0.14815","4.55","1.731","4.40","2.50","81.75","21.56","85.55","20.70","0.00000","0.40000","0.15000","0.45000","-0.25000","4.57","1.813","3.86","2.79","85.14","17.57","87.00","17.44","0.00000","0.14286","0.28571","0.5714"," 0.14286","0.106","0.161","0.439","0.2340","0.270","0.2270","0.68611"
"meth Slide029.jpeg","meth","Slide029.jpeg","meth_hand","4.46","1.934","4.64","2.95","88.21","22.57","89.39","22.11","0.00000","1.00000","0.00000","0.00000","-1.00000","4.62","1.910","4.90","2.74","86.24","25.43","87.19","25.11","0.00000","1.00000","0.00000","0.00000","-1.00000","4.00","2.082","3.86","3.63","94.14"," 9.03","96.00"," 5.54","0.00000","1.00000","0.00000","0.0000","-1.00000","0.321","0.275","0.304","0.2730","0.580","0.1560","0.23602"
"meth Slide030.jpeg","meth","Slide030.jpeg","meth_hand","4.68","1.765","5.04","2.65","90.61","14.99","93.50","13.82","0.00000","1.00000","0.00000","0.00000","-1.00000","4.86","1.682","5.19","2.62","90.48","16.37","92.19","15.76","0.00000","1.00000","0.00000","0.00000","-1.00000","4.14","2.035","4.57","2.88","91.00","10.88","97.43"," 2.76","0.00000","1.00000","0.00000","0.0000","-1.00000","0.263","0.221","0.277","0.2000","0.475","0.2850","0.92459"
"meth Slide031.jpeg","meth","Slide031.jpeg","meth_hand","4.41","2.062","4.89","2.81","91.71","12.98","93.29","11.22","0.00000","1.00000","0.00000","0.00000","-1.00000","4.65","1.927","5.19","2.58","90.76","14.31","92.71","12.43","0.00000","1.00000","0.00000","0.00000","-1.00000","3.71","2.430","4.00","3.46","94.57"," 7.91","95.00"," 6.83","0.00000","1.00000","0.00000","0.0000","-1.00000","0.404","0.316","0.392","0.2790","0.291","0.3440","0.38920"
"meth Slide032.jpeg","meth","Slide032.jpeg","meth_hand","4.41","1.647","4.19","2.63","82.56","19.41","83.89","19.41","0.00000","0.29630","0.22222","0.48148","-0.07407","4.65","1.599","4.30","2.64","81.90","20.32","83.30","20.51","0.00000","0.35000","0.20000","0.45000","-0.15000","3.71","1.704","3.86","2.79","84.43","17.89","85.57","17.18","0.00000","0.14286","0.28571","0.5714"," 0.14286","0.505","0.275","0.290","0.2880","0.249","0.1930","0.76161"
"meth Slide033.jpeg","meth","Slide033.jpeg","meth_instrument","4.59","1.782","4.22","2.50","84.89","18.71","88.48","17.27","0.00000","0.88889","0.00000","0.11111","-0.88889","4.75","1.713","4.35","2.46","84.70","19.24","87.00","19.32","0.00000","0.90000","0.00000","0.10000","-0.90000","4.14","2.035","3.86","2.79","85.43","18.55","92.71"," 9.12","0.00000","0.85714","0.00000","0.1429","-0.85714","0.709","0.182","0.225","0.1780","0.192","0.2240","0.93102"
"meth Slide034.jpeg","meth","Slide034.jpeg","meth_instrument","4.11","1.750","4.11","2.71","87.14","22.33","91.64","19.86","0.00000","0.92857","0.00000","0.07143","-0.92857","4.29","1.793","4.57","2.71","89.05","17.39","93.95","11.36","0.00000","0.95238","0.00000","0.04762","-0.95238","3.57","1.618","2.71","2.36","81.43","34.42","84.71","35.64","0.00000","0.85714","0.00000","0.1429","-0.85714","0.070","0.142","0.158","0.1740","0.122","0.1480","0.59142"
"meth Slide035.jpeg","meth","Slide035.jpeg","meth_instrument","4.29","1.979","4.61","2.87","91.68","13.61","92.64","13.64","0.00000","0.92857","0.00000","0.07143","-0.92857","4.52","1.778","4.86","2.65","90.67","15.24","92.10","14.88","0.00000","0.95238","0.00000","0.04762","-0.95238","3.57","2.507","3.86","3.58","94.71"," 6.73","94.29"," 9.79","0.00000","0.85714","0.00000","0.1429","-0.85714","0.011","0.040","0.019","0.0810","0.974","0.0810","0.34341"
