"Group","ImageSet","File","Category","allsubjects_valence_mean","allsubjects_valence_sd","allsubjects_arousal_mean","allsubjects_arousal_sd","allsubjects_craving_mean","allsubjects_craving_sd","allsubjects_typicality_mean","allsubjects_typicality_sd","allsubjects_FractionNeither","allsubjects_FractionMeth","allsubjects_FractionOpioid","allsubjects_FractionBoth","allsubjects_MethToOpioid","injectionusers_valence_mean","injectionusers_valence_sd","injectionusers_arousal_mean","injectionusers_arousal_sd","injectionusers_craving_mean","injectionusers_craving_sd","injectionusers_typicality_mean","injectionusers_typicality_sd","injectionusers_FractionNeither","injectionusers_FractionMeth","injectionusers_FractionOpioid","injectionusers_FractionBoth","injectionusers_MethToOpioid","noninjectionusers_valence_mean","noninjectionusers_valence_sd","noninjectionusers_arousal_mean","noninjectionusers_arousal_sd","noninjectionusers_craving_mean","noninjectionusers_craving_sd","noninjectionusers_typicality_mean","noninjectionusers_typicality_sd","noninjectionusers_FractionNeither","noninjectionusers_FractionMeth","noninjectionusers_FractionOpioid","noninjectionusers_FractionBoth","noninjectionusers_MethToOpioid","hue_mean","hue_sd","saturation_mean","saturation_sd","value_mean","value_sd","p_cravingdelta_injectionVnon"
"control Slide021.jpeg","control","Slide021.jpeg","control_objects_hand","4.96","1.427","2.39","1.81","11.43","21.41","12.18","21.84","0.96429","0.03571","0.00000","0.00000","-0.03571","5.00","1.643","2.00","1.55"," 7.95","17.64"," 9.48","17.59","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.86","0.378","3.57","2.15","21.86","29.25","20.29","31.82","0.85714","0.14286","0.00000","0.0000","-0.14286","0.428","0.329","0.273","0.1200","0.522","0.2540","0.27118"
"control Slide022.jpeg","control","Slide022.jpeg","control_objects_hand","5.04","1.055","2.70","2.15","18.19","28.57","15.00","24.05","0.96296","0.00000","0.03704","0.00000"," 0.03704","4.90","1.021","2.65","1.98","11.15","20.24","11.25","20.10","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.43","1.134","2.86","2.73","38.29","40.04","25.71","32.36","0.85714","0.00000","0.14286","0.0000"," 0.14286","0.302","0.352","0.316","0.1740","0.416","0.3000","0.12889"
"control Slide023.jpeg","control","Slide023.jpeg","control_objects_hand","5.04","1.774","2.54","2.12"," 9.18","20.78"," 8.79","19.86","0.96429","0.03571","0.00000","0.00000","-0.03571","4.90","1.947","1.95","1.66"," 3.67","10.98"," 7.05","14.97","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.43","1.134","4.29","2.50","25.71","33.41","14.00","31.39","0.85714","0.14286","0.00000","0.0000","-0.14286","0.533","0.316","0.257","0.2050","0.453","0.2470","0.13373"
"control Slide024.jpeg","control","Slide024.jpeg","control_objects_hand","5.19","1.039","2.70","2.25"," 7.37","15.71"," 8.33","15.73","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.10","1.021","3.05","2.39"," 8.60","18.07"," 9.05","17.98","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.43","1.134","1.71","1.50"," 3.86"," 3.98"," 6.29"," 6.47","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.387","0.285","0.261","0.1330","0.504","0.2580","0.28256"
"control Slide025.jpeg","control","Slide025.jpeg","control_objects_hand","4.89","1.155","2.89","2.21","10.78","22.01","10.93","22.29","0.96296","0.00000","0.03704","0.00000"," 0.03704","4.70","1.129","2.80","2.02"," 9.60","18.15"," 8.60","17.90","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.43","1.134","3.14","2.85","14.14","32.22","17.57","32.69","0.85714","0.00000","0.14286","0.0000"," 0.14286","0.104","0.215","0.354","0.1780","0.630","0.2870","0.73327"
"control Slide026.jpeg","control","Slide026.jpeg","control_objects_hand","4.93","1.386","2.36","1.93","20.00","35.34","11.71","21.53","0.96429","0.03571","0.00000","0.00000","-0.03571","4.81","1.537","2.29","1.79","17.10","32.39","10.90","17.67","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.29","0.756","2.57","2.44","28.71","44.77","14.14","32.18","0.85714","0.14286","0.00000","0.0000","-0.14286","0.358","0.291","0.151","0.1230","0.588","0.2260","0.54363"
"control Slide027.jpeg","control","Slide027.jpeg","control_objects_hand","5.04","0.437","2.89","2.17","19.67","32.16","12.63","22.41","0.96296","0.00000","0.03704","0.00000"," 0.03704","4.95","0.224","2.80","1.96","21.00","33.49","11.25","20.11","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.29","0.756","3.14","2.85","15.86","30.12","16.57","29.52","0.85714","0.00000","0.14286","0.0000"," 0.14286","0.082","0.041","0.429","0.1330","0.743","0.1930","0.71264"
"control Slide028.jpeg","control","Slide028.jpeg","control_objects_hand","4.96","0.980","2.67","2.15","13.15","24.00","14.07","23.86","0.96296","0.00000","0.03704","0.00000"," 0.03704","4.80","0.894","2.65","1.98","13.00","21.94","13.60","21.63","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.43","1.134","2.71","2.75","13.57","31.16","15.43","31.34","0.85714","0.00000","0.14286","0.0000"," 0.14286","0.136","0.206","0.481","0.1730","0.849","0.1390","0.96535"
"control Slide029.jpeg","control","Slide029.jpeg","control_objects_hand","4.86","1.627","2.36","2.06","13.43","28.15","15.18","28.00","0.96429","0.00000","0.00000","0.03571"," 0.00000","4.90","1.609","2.10","1.73","13.00","26.66","15.76","27.52","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.71","1.799","3.14","2.85","14.71","34.57","13.43","31.60","0.85714","0.00000","0.00000","0.1429"," 0.00000","0.064","0.053","0.219","0.0810","0.274","0.2060","0.90738"
"control Slide030.jpeg","control","Slide030.jpeg","control_objects_hand","5.04","1.815","2.43","2.18","10.64","23.27","13.54","22.93","0.96429","0.00000","0.00000","0.03571"," 0.00000","5.19","1.887","2.52","2.29","13.38","26.42","16.57","25.68","0.95238","0.00000","0.00000","0.04762"," 0.00000","4.57","1.618","2.14","1.95"," 2.43"," 2.57"," 4.43"," 6.35","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.233","0.354","0.307","0.2150","0.497","0.2790","0.07492"
"control Slide031.jpeg","control","Slide031.jpeg","control_objects_hand","4.82","2.056","2.25","1.96","11.71","23.19"," 9.07","14.86","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.62","2.269","2.10","1.84"," 6.81","14.85"," 9.95","16.64","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.43","1.134","2.71","2.36","26.43","36.70"," 6.43"," 7.72","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.068","0.106","0.437","0.1240","0.623","0.1860","0.21285"
"control Slide032.jpeg","control","Slide032.jpeg","control_objects_hand","4.63","1.363","2.63","2.08","15.15","22.94","15.00","23.82","0.96296","0.00000","0.03704","0.00000"," 0.03704","4.40","1.465","2.40","1.96","14.05","21.58","13.50","21.67","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.29","0.756","3.29","2.43","18.29","28.12","19.29","30.70","0.85714","0.00000","0.14286","0.0000"," 0.14286","0.374","0.371","0.233","0.1130","0.562","0.2720","0.72542"
"control Slide033.jpeg","control","Slide033.jpeg","control_tool","4.78","1.155","2.52","1.95"," 7.78","15.89","10.81","17.63","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.60","1.231","2.65","1.98"," 8.35","18.06","12.15","19.99","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.29","0.756","2.14","1.95"," 6.14"," 7.52"," 7.00"," 7.62","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.617","0.204","0.317","0.1840","0.241","0.3480","0.65886"
"control Slide034.jpeg","control","Slide034.jpeg","control_tool","5.00","1.515","2.93","2.14","13.25","22.71","12.79","21.40","0.96429","0.03571","0.00000","0.00000","-0.03571","5.00","1.761","2.76","2.21","13.48","24.47","15.48","23.86","0.95238","0.04762","0.00000","0.00000","-0.04762","5.00","0.000","3.43","1.99","12.57","17.98"," 4.71"," 7.87","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.292","0.208","0.227","0.1100","0.163","0.2200","0.91810"
"control Slide035.jpeg","control","Slide035.jpeg","control_tool","4.68","1.744","2.11","1.81"," 5.32","13.00"," 8.04","15.65","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.52","1.990","2.05","1.72"," 6.29","14.94"," 9.71","17.81","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.14","0.378","2.29","2.21"," 2.43"," 2.07"," 3.00"," 2.45","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.025","0.127","0.032","0.1470","0.085","0.2410","0.26216"
"control Slide036.jpeg","control","Slide036.jpeg","control_tool","5.00","1.109","2.85","2.14","15.78","25.74","15.89","25.45","0.96296","0.03704","0.00000","0.00000","-0.03704","5.00","1.298","2.90","2.20","12.55","21.13","12.60","21.09","0.95000","0.05000","0.00000","0.00000","-0.05000","5.00","0.000","2.71","2.14","25.00","36.37","25.29","35.47","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.000","0.000","0.000","0.0000","0.033","0.1350","0.41834"
